user_id,home_lat,home_lon,office_lat,office_lon,commute_time,commute_time_minutes,commute_duration_min,dist_home_office_km,overlap_score,time_diff_minutes,accepted,past_acceptance_rate,optimal_notify_minutes,optimal_notify_time,day_of_week,response_time_lag_min
U00049,28.467081,77.339925,28.738612,77.339764,09:17,557,40,30.14,0.4795,5,1,0.6706,463,07:43,1,9.4
U00050,28.495956,76.955017,28.400611,77.27262,09:29,569,55,32.741,0.717,5,1,0.6055,487,08:07,2,7.7
U00051,28.403534,77.055061,28.411174,77.271712,08:04,484,68,21.17,0.5619,37,0,0.4569,365,06:05,6,11.9
U00052,28.777724,77.124868,28.731344,77.103763,07:34,454,59,5.542,0.3056,10,1,0.5031,409,06:49,0,2.0
U00053,28.719128,76.901346,28.59807,77.127793,08:37,517,16,25.816,0.2848,20,0,0.3846,477,07:57,2,8.5
U00054,28.738479,77.256578,28.802946,77.277876,07:21,441,58,7.45,0.7482,20,1,0.6943,360,06:00,2,13.7
U00055,28.77475,76.98009,28.483047,77.283509,07:43,463,32,43.816,0.5321,0,1,0.7047,437,07:17,2,11.5
U00056,28.62028,77.120128,28.406637,77.24916,09:29,569,70,26.841,0.3594,4,0,0.514,546,09:06,0,9.6
U00057,28.672996,77.120313,28.58628,77.257471,08:53,533,34,16.464,0.617,33,1,0.504,424,07:04,0,8.5
U00058,28.467103,77.147347,28.753311,77.288611,09:22,562,88,34.631,0.4199,21,0,0.4915,458,07:38,6,6.2
U00059,28.454974,76.868298,28.866429,76.898029,07:06,426,23,45.764,0.4751,2,0,0.6635,393,06:33,4,6.2
U00060,28.720833,76.925996,28.824154,76.989246,09:32,572,81,13.017,0.6779,18,1,0.6927,470,07:50,4,1.0
U00061,28.626126,76.922208,28.632356,77.337818,07:11,431,17,40.5,0.458,5,0,0.5799,360,06:00,4,10.5
U00062,28.671313,76.994046,28.790152,77.117836,09:39,579,66,17.87,0.9499,8,1,0.7999,469,07:49,1,14.8
U00063,28.767199,76.913906,28.433759,76.929997,08:30,510,41,37.045,0.4852,17,1,0.5297,452,07:32,4,9.5
U00064,28.704665,77.31018,28.674691,77.096558,07:05,425,29,21.062,0.9618,10,1,0.8137,373,06:13,6,8.1
U00065,28.665718,77.101607,28.843663,77.16935,09:20,560,31,20.825,0.8477,0,1,0.8756,505,08:25,5,11.0
U00066,28.668419,77.158023,28.590265,77.262393,08:42,522,17,13.363,0.8909,18,0,0.7952,437,07:17,0,1.0
U00067,28.545896,77.022319,28.860848,77.25421,07:52,472,24,41.634,0.7633,17,0,0.527,360,06:00,0,5.5
U00068,28.414793,76.980886,28.505929,76.865113,09:11,551,44,15.169,0.6045,3,1,0.852,437,07:17,2,7.6
U00069,28.609624,77.09662,28.450704,77.071298,09:08,548,26,17.812,0.5327,25,0,0.4829,493,08:13,4,1.0
U00070,28.503001,76.990105,28.651886,76.85049,09:09,549,87,21.415,0.5517,3,1,0.6998,523,08:43,0,8.8
U00071,28.596094,77.015259,28.835478,77.29296,08:29,509,76,37.928,0.2015,20,1,0.3708,449,07:29,5,1.0
U00072,28.809633,77.070903,28.549414,76.928692,07:31,451,50,32.025,0.2144,10,0,0.4347,387,06:27,2,11.5
U00073,28.512291,77.097924,28.784077,77.158686,08:15,495,22,30.745,0.0342,9,1,0.4334,474,07:54,1,9.1
U00074,28.427985,77.342,28.481215,77.131015,09:34,574,88,21.426,0.7456,4,0,0.7688,457,07:37,5,7.0
U00075,28.535064,76.953895,28.757874,77.15902,09:04,544,69,31.809,0.1249,18,0,0.2954,506,08:26,3,11.8
U00076,28.540925,77.088868,28.667373,77.127342,09:35,575,28,14.528,0.5821,2,1,0.6709,498,08:18,3,8.7
U00077,28.71772,76.916251,28.484008,77.20495,07:51,471,19,38.247,0.1379,4,0,0.4763,415,06:55,3,10.4
U00078,28.667375,77.0185,28.744682,77.159316,07:30,450,61,16.178,0.0665,15,0,0.4119,360,06:00,3,9.4
U00079,28.776271,77.205828,28.742603,76.886053,07:09,429,18,31.335,0.5336,9,1,0.5469,360,06:00,1,3.7
U00080,28.71887,76.928976,28.647409,77.027052,07:16,436,61,12.413,0.8731,29,0,0.5941,360,06:00,6,15.8
U00081,28.595066,77.136489,28.508224,77.118763,09:07,547,48,9.793,0.356,17,1,0.6193,521,08:41,5,14.2
U00082,28.79073,77.052518,28.463501,77.005851,08:34,514,81,36.605,0.9192,15,1,0.6797,467,07:47,6,10.1
U00083,28.480147,76.866306,28.859482,77.227769,07:54,474,43,54.924,0.0103,7,0,0.3627,420,07:00,2,8.8
U00084,28.410902,77.315868,28.71479,77.002128,08:33,513,48,45.564,0.4657,19,0,0.3758,404,06:44,4,11.8
U00085,28.443223,77.050938,28.788436,77.262629,09:23,563,55,43.534,0.1468,11,0,0.3699,507,08:27,0,14.3
U00086,28.746732,77.239803,28.734546,76.914834,09:14,554,88,31.655,0.3158,1,0,0.5262,483,08:03,4,17.5
U00087,28.621701,77.05232,28.798147,77.23239,07:37,457,67,26.295,0.0237,0,0,0.4569,360,06:00,3,5.3
U00088,28.47741,77.318054,28.477996,76.933567,09:05,545,65,37.514,0.0353,0,1,0.4619,434,07:14,1,13.2
U00089,28.640501,76.98814,28.638536,77.109288,08:07,487,38,11.804,0.7128,20,1,0.7041,440,07:20,2,7.6
U00090,28.47311,77.050238,28.72022,77.003467,09:48,588,51,27.806,0.6545,27,1,0.516,502,08:22,6,1.0
U00091,28.734234,77.227021,28.449627,77.165041,08:24,504,29,32.162,0.2083,11,0,0.3587,395,06:35,0,12.2
U00092,28.614155,77.01527,28.471979,76.948498,09:24,564,44,17.07,0.9011,7,1,0.8137,518,08:38,1,15.3
U00093,28.58289,77.025822,28.704312,77.245659,09:26,566,76,25.314,0.688,7,1,0.7477,452,07:32,2,12.9
U00094,28.544726,77.34736,28.816979,77.132528,09:44,584,22,36.77,0.3362,7,1,0.468,525,08:45,4,7.2
U00095,28.702536,77.123363,28.717,77.328209,07:33,453,27,20.008,0.4077,10,1,0.6754,411,06:51,5,9.9
U00096,28.57367,77.191584,28.417378,77.203003,09:15,555,58,17.384,0.2926,23,0,0.4066,456,07:36,0,11.5
U00097,28.442072,77.168166,28.865808,77.149772,07:15,435,74,47.069,0.8306,20,1,0.5662,378,06:18,3,10.9
U00098,28.456643,77.262241,28.466963,77.262871,09:26,566,88,1.147,0.494,15,1,0.6288,505,08:25,2,14.2
U00099,28.861711,77.279531,28.51163,76.952038,08:36,516,59,50.235,0.1353,0,0,0.383,423,07:03,1,12.7
U00100,28.836119,77.127261,28.867984,77.162699,07:29,449,64,4.938,0.2017,6,1,0.5674,407,06:47,0,5.1
U00101,28.735859,76.990224,28.770096,77.039106,07:27,447,36,6.089,0.2966,30,1,0.4815,401,06:41,1,8.1
U00102,28.527618,76.851628,28.849557,77.219333,09:30,570,45,50.625,0.4032,10,0,0.4622,479,07:59,0,5.5
U00103,28.865205,77.153346,28.787177,76.852479,08:29,509,38,30.502,0.5926,6,1,0.6777,407,06:47,1,8.8
U00104,28.7738,77.260989,28.712833,77.058133,07:14,434,23,20.865,0.9642,14,1,0.8799,396,06:36,5,1.0
U00105,28.744107,77.069775,28.536585,77.172368,09:52,592,42,25.106,0.2619,0,0,0.4722,475,07:55,3,17.6
U00106,28.615694,76.924,28.556903,77.074926,09:20,560,31,16.089,0.3284,6,0,0.6,536,08:56,1,4.1
U00107,28.530676,76.986922,28.85469,76.961366,07:32,452,59,36.052,0.024,9,1,0.2777,369,06:09,6,5.4
U00108,28.446268,77.100094,28.8131,77.076818,07:00,420,71,40.782,0.3726,4,0,0.5062,360,06:00,2,8.4
U00109,28.833249,77.266707,28.572555,77.27337,09:25,565,88,28.944,0.6751,9,0,0.5012,529,08:49,0,1.1
U00110,28.618773,76.927594,28.579168,76.945488,08:08,488,81,4.729,0.9631,2,1,1.0,390,06:30,0,6.3
U00111,28.497134,77.152196,28.542893,77.027258,07:10,430,38,13.204,0.7402,13,0,0.694,410,06:50,4,8.8
U00112,28.546859,77.224218,28.556542,77.345071,09:18,558,85,11.833,0.118,1,1,0.5056,510,08:30,4,16.2
U00113,28.678025,77.317384,28.81312,77.305537,09:34,574,85,15.04,0.89,29,0,0.6516,514,08:34,0,8.7
U00114,28.484851,76.899519,28.405043,76.857324,08:54,534,52,9.768,0.8387,0,1,0.8564,445,07:25,3,6.0
U00115,28.811175,77.31246,28.609305,77.110469,09:47,587,30,29.8,0.189,20,0,0.3345,545,09:05,0,2.4
U00116,28.764089,77.146748,28.852563,76.873361,07:49,469,73,28.356,0.9343,14,0,0.7644,444,07:24,1,18.7
U00117,28.745342,77.231018,28.660465,77.311192,09:26,566,23,12.233,0.7141,22,0,0.6373,469,07:49,2,8.4
U00118,28.607405,76.867425,28.616214,77.065188,09:02,542,42,19.297,0.7828,29,0,0.4953,514,08:34,4,8.4
U00119,28.701108,77.098136,28.549938,77.053403,09:46,586,54,17.336,0.4591,26,0,0.5313,520,08:40,6,1.1
U00120,28.680367,77.157541,28.435478,76.979202,08:30,510,79,32.257,0.2007,3,1,0.4954,424,07:04,4,10.6
U00121,28.711926,76.996485,28.507754,77.130098,09:35,575,88,26.131,0.7991,1,1,0.7426,492,08:12,2,5.1
U00122,28.440533,77.060142,28.44342,76.913949,07:27,447,76,14.272,0.4774,1,1,0.6515,417,06:57,2,15.4
U00123,28.599588,77.122692,28.460816,77.247467,07:31,451,51,19.625,0.9674,5,1,0.9061,371,06:11,0,10.3
U00124,28.419975,77.121799,28.478488,77.090517,09:29,569,21,7.177,0.1533,8,1,0.5757,548,09:08,2,8.6
U00125,28.637116,76.861349,28.544974,77.128896,07:37,457,74,28.0,0.3554,16,0,0.3977,434,07:14,1,1.4
U00126,28.558333,77.064136,28.405288,77.26881,10:04,604,79,26.207,0.7355,1,0,0.8372,561,09:21,1,7.5
U00127,28.469372,76.949047,28.856069,76.934426,07:05,425,50,42.947,0.5723,14,0,0.4766,360,06:00,0,6.9
U00128,28.449633,77.307514,28.459433,76.929343,09:52,592,56,36.924,0.4333,7,1,0.4921,551,09:11,1,8.6
U00129,28.682069,77.338056,28.583911,77.054609,08:22,502,78,29.675,0.7016,4,1,0.6779,400,06:40,3,1.0
U00130,28.481885,76.99282,28.822173,77.240925,08:55,535,24,44.863,0.7334,10,0,0.4841,502,08:22,3,3.5
U00131,28.844058,76.929345,28.451153,76.869858,08:23,503,75,43.994,0.5773,14,0,0.4906,436,07:16,6,5.5
U00132,28.678909,76.951947,28.63213,77.245537,08:38,518,53,29.058,0.3191,3,1,0.5767,450,07:30,6,10.5
U00133,28.566498,77.083654,28.805496,77.095386,08:26,506,66,26.553,0.6188,5,1,0.5766,428,07:08,6,1.0
U00134,28.683639,77.285998,28.667342,77.126499,07:55,475,29,15.637,0.5452,18,1,0.7001,417,06:57,1,14.9
U00135,28.410946,77.095018,28.500965,77.127837,10:04,604,61,10.493,0.7977,17,0,0.6577,570,09:30,1,14.2
U00136,28.860108,76.86825,28.753045,76.868645,09:11,551,35,11.884,0.6535,0,0,0.7664,459,07:39,2,3.0
U00137,28.631506,76.860342,28.727044,76.967383,08:31,511,53,14.873,0.4968,17,1,0.5191,426,07:06,4,20.3
U00138,28.775713,76.955969,28.573849,77.225202,08:08,488,54,34.47,0.0187,17,0,0.3787,403,06:43,3,9.2
U00139,28.43971,77.269813,28.422222,77.050257,07:03,423,86,21.517,0.1669,19,0,0.4314,360,06:00,4,7.5
U00140,28.633596,77.156955,28.403775,77.125864,09:25,565,65,25.689,0.3366,6,1,0.5481,457,07:37,4,11.0
U00141,28.635539,77.127109,28.796189,77.321883,07:18,438,56,26.039,0.6014,10,1,0.4957,360,06:00,5,10.1
U00142,28.850157,77.002674,28.554348,76.863599,08:06,486,45,35.51,0.7924,3,0,0.7113,423,07:03,2,8.6
U00143,28.674429,77.314007,28.46613,77.069337,09:29,569,40,33.202,0.96,6,1,0.7732,548,09:08,2,2.6
U00144,28.627275,77.008901,28.648905,77.02425,09:00,540,63,2.829,0.5998,24,1,0.5741,499,08:19,4,5.8
U00145,28.528148,77.265822,28.842,76.894289,08:32,512,81,50.264,0.7288,1,0,0.6908,462,07:42,4,9.8
U00146,28.559153,77.296911,28.404071,77.324905,08:27,507,57,17.429,0.6214,14,0,0.5906,458,07:38,3,12.2
U00147,28.649923,77.086501,28.426949,77.330344,07:00,420,64,34.304,0.4303,4,1,0.5032,360,06:00,1,15.2
U00148,28.610678,77.296088,28.600182,76.998859,08:19,499,39,28.987,0.6097,11,0,0.525,473,07:53,2,5.7
U00149,28.410374,76.98117,28.724464,77.322825,07:39,459,56,48.251,0.4007,2,0,0.4464,373,06:13,6,8.4
U00150,28.79662,77.175801,28.628528,76.857939,09:08,548,57,36.113,0.4536,3,1,0.5634,480,08:00,2,4.7
U00151,28.830157,76.884862,28.830823,77.340257,09:40,580,66,44.284,0.911,21,1,0.6555,528,08:48,4,13.5
U00152,28.46732,77.081706,28.421161,77.266325,07:38,458,38,18.729,0.5639,6,0,0.6868,365,06:05,6,6.4
U00153,28.665937,76.950839,28.563268,76.949308,07:09,429,41,11.397,0.1004,9,0,0.4449,360,06:00,2,5.1
U00154,28.452116,76.872009,28.568647,77.145769,08:29,509,41,29.684,0.5238,12,1,0.6199,405,06:45,2,8.3
U00155,28.722675,76.8419,28.563261,77.247133,08:46,526,46,43.233,0.9533,21,1,0.5386,490,08:10,2,1.0
U00156,28.534992,77.005624,28.634089,77.002842,08:12,492,36,11.003,0.1,14,1,0.4593,445,07:25,3,10.7
U00157,28.716523,77.140661,28.779477,77.020413,07:25,445,29,13.633,0.9712,9,1,0.7686,360,06:00,0,6.5
U00158,28.748957,77.072167,28.552584,77.160776,09:53,593,52,23.441,0.9876,5,1,0.9267,486,08:06,1,21.8
U00159,28.768951,76.993902,28.757352,76.915018,07:12,432,79,7.783,0.5607,12,1,0.6282,374,06:14,1,4.9
U00160,28.451716,77.345512,28.470303,76.900287,08:39,519,17,43.5,0.3324,5,0,0.5282,459,07:39,0,6.7
U00161,28.839686,77.319158,28.669148,76.967401,09:08,548,64,39.091,0.0086,0,0,0.3995,509,08:29,3,13.1
U00162,28.510503,76.904083,28.580042,77.218042,09:26,566,76,31.581,0.0155,13,1,0.3203,539,08:59,5,11.9
U00163,28.417958,77.051705,28.658821,77.026966,08:38,518,76,26.845,0.3881,7,0,0.4959,491,08:11,4,13.2
U00164,28.666329,77.170912,28.45172,77.098753,07:00,420,78,24.837,0.7831,8,1,0.7465,400,06:40,3,6.6
U00165,28.578043,77.21408,28.857662,76.93968,09:19,559,38,40.973,0.9424,29,0,0.7402,536,08:56,3,2.3
U00166,28.798299,77.02685,28.834983,76.938994,07:38,458,22,9.466,0.1548,35,1,0.3701,401,06:41,1,21.3
U00167,28.787961,77.220604,28.79667,77.17173,07:34,454,89,4.852,0.4878,10,1,0.6285,370,06:10,0,10.6
U00168,28.552227,76.903317,28.828536,76.895271,07:19,439,67,30.68,0.5017,8,1,0.6153,360,06:00,2,9.1
U00169,28.857392,77.009224,28.47041,77.180599,09:07,547,41,46.073,0.3803,7,0,0.537,459,07:39,1,12.0
U00170,28.539641,77.205381,28.641786,77.044358,08:42,522,78,19.367,0.54,23,1,0.483,438,07:18,4,1.5
U00171,28.647227,77.159098,28.552596,77.182348,08:23,503,41,10.745,0.925,15,1,0.8246,418,06:58,6,5.7
U00172,28.522863,77.266977,28.825945,77.034682,09:40,580,71,40.559,0.4385,25,0,0.4441,522,08:42,0,2.8
U00173,28.849301,76.863897,28.49093,77.271487,09:37,577,87,56.149,0.1378,4,0,0.345,526,08:46,0,8.8
U00174,28.479012,76.92894,28.505574,76.868334,09:21,561,72,6.608,0.6654,10,1,0.7992,499,08:19,0,1.1
U00175,28.421557,76.864732,28.729623,77.295582,07:51,471,64,54.207,0.0314,0,0,0.3534,372,06:12,3,11.4
U00176,28.608847,76.937978,28.442672,76.977017,08:18,498,29,18.834,0.9401,8,1,0.8994,424,07:04,6,13.9
U00177,28.87634,76.842184,28.751536,76.861697,08:53,533,85,13.982,0.9399,4,1,0.8762,430,07:10,2,13.7
U00178,28.828005,77.097147,28.528701,77.126826,09:56,596,46,33.348,0.0921,0,1,0.3995,543,09:03,3,10.2
U00179,28.759332,77.10944,28.717249,76.954421,08:51,531,61,15.791,0.5509,15,1,0.6376,451,07:31,3,9.0
U00180,28.82758,77.175525,28.819058,77.074194,07:26,446,60,9.899,0.7974,10,0,0.7786,362,06:02,0,5.9
U00181,28.828854,77.036305,28.692613,77.24918,10:20,620,33,25.636,0.4646,2,0,0.646,539,08:59,6,10.2
U00182,28.649052,76.841636,28.502088,77.243689,08:33,513,60,42.426,0.4788,9,1,0.6301,483,08:03,3,7.5
U00183,28.551646,77.183684,28.423599,77.146197,09:34,574,44,14.676,0.9702,23,1,0.8401,535,08:55,4,1.0
U00184,28.770566,76.867688,28.421415,77.338715,08:29,509,41,60.02,0.2305,15,0,0.314,427,07:07,3,4.9
U00185,28.717597,77.281747,28.44263,77.076513,08:07,487,79,36.479,0.5263,0,1,0.7203,382,06:22,1,12.0
U00186,28.579356,76.851554,28.678313,76.860088,07:55,475,69,11.016,0.115,18,0,0.3501,407,06:47,4,2.4
U00187,28.445344,77.110542,28.567145,77.257907,07:18,438,51,19.739,0.3024,6,0,0.5631,410,06:50,2,2.3
U00188,28.758459,77.296408,28.516691,76.95286,07:48,468,16,42.869,0.8509,15,0,0.5299,362,06:02,4,7.0
U00189,28.525981,77.13197,28.505267,76.929882,07:53,473,68,19.842,0.7164,11,1,0.6333,373,06:13,3,1.0
U00190,28.84967,77.150293,28.855319,76.875705,08:42,522,70,26.704,0.612,6,1,0.5816,421,07:01,0,11.6
U00191,28.515666,77.187622,28.457032,77.007229,07:16,436,27,18.76,0.1139,13,1,0.4223,375,06:15,0,11.2
U00192,28.458924,76.902429,28.546311,77.006341,07:23,443,71,14.033,0.8507,0,1,0.8628,360,06:00,4,12.7
U00193,28.798934,77.184213,28.626309,76.994413,08:36,516,44,26.608,0.2981,12,0,0.4922,487,08:07,5,9.1
U00194,28.473576,77.288981,28.400216,77.142528,09:27,567,69,16.447,0.535,0,1,0.6385,545,09:05,3,3.7
U00195,28.486049,77.336853,28.842058,77.223287,07:46,466,77,41.041,0.2335,21,0,0.2739,440,07:20,2,1.8
U00196,28.687704,77.065957,28.447567,77.318261,09:25,565,67,36.25,0.5207,7,1,0.5531,503,08:23,5,10.8
U00197,28.81979,77.015697,28.727586,76.887966,07:18,438,85,16.095,0.5621,16,1,0.5213,360,06:00,2,11.6
U00198,28.494289,77.224188,28.701855,76.916695,07:24,444,20,37.824,0.3405,0,1,0.5909,419,06:59,5,2.4
U00199,28.548955,77.116866,28.788351,77.14082,08:54,534,39,26.675,0.5059,19,1,0.5847,458,07:38,3,1.7
U00200,28.773154,76.971225,28.712666,76.890049,07:28,448,19,10.366,0.4061,1,1,0.8048,360,06:00,1,7.9
U00201,28.866477,76.927801,28.769306,77.02909,08:07,487,27,14.604,0.6975,16,1,0.736,423,07:03,2,8.7
U00202,28.640356,76.926817,28.602199,77.158522,09:18,558,43,22.966,0.5439,17,1,0.4667,533,08:53,0,12.7
U00203,28.469071,77.07418,28.634578,77.238078,09:34,574,16,24.357,0.8781,18,1,0.6734,462,07:42,1,11.3
U00204,28.406689,76.926763,28.736798,76.950976,07:21,441,44,36.718,0.0496,9,0,0.3235,360,06:00,3,7.6
U00205,28.510235,76.850057,28.672845,77.180673,08:11,491,24,36.956,0.0266,12,1,0.2837,425,07:05,6,13.2
U00206,28.463275,76.866565,28.645539,77.169394,09:33,573,23,35.813,0.1885,10,0,0.3574,469,07:49,4,6.3
U00207,28.725276,77.314241,28.498668,77.278404,10:12,612,77,25.394,0.1186,9,0,0.4742,508,08:28,2,6.5
U00208,28.45848,76.87721,28.523892,77.000011,07:21,441,70,14.012,0.5259,7,1,0.5846,360,06:00,6,12.2
U00209,28.643038,76.877322,28.572079,77.222547,10:00,600,49,34.541,0.2001,1,1,0.5917,495,08:15,6,12.8
U00210,28.733246,77.070106,28.404457,77.22352,07:32,452,57,39.432,0.016,27,1,0.2148,363,06:03,6,12.9
U00211,28.678936,76.965001,28.600334,76.961989,08:46,526,36,8.73,0.2826,7,0,0.5956,431,07:11,0,7.1
U00212,28.495892,77.330974,28.401329,77.15679,09:05,545,51,19.973,0.5092,16,1,0.5316,514,08:34,6,8.4
U00213,28.78598,77.304603,28.671207,77.184333,08:36,516,73,17.297,0.7143,5,1,0.7655,487,08:07,0,3.7
U00214,28.743395,77.046419,28.737934,76.979958,08:08,488,54,6.496,0.4384,21,1,0.4937,453,07:33,4,12.5
U00215,28.754712,77.068853,28.669831,77.070418,09:35,575,74,9.423,0.9627,21,1,0.8808,460,07:40,3,5.0
U00216,28.462908,77.031308,28.73289,77.062247,07:59,479,51,30.12,0.1995,3,1,0.5303,418,06:58,5,1.0
U00217,28.459402,76.859312,28.400006,77.23449,09:28,568,42,37.201,0.5141,10,0,0.5626,486,08:06,0,5.8
U00218,28.84523,76.989352,28.428532,76.840353,09:51,591,82,48.469,0.2532,19,0,0.362,514,08:34,6,3.7
U00219,28.590838,76.902563,28.735262,77.095524,07:40,460,82,24.712,0.8067,19,1,0.6707,400,06:40,0,1.0
U00220,28.544455,76.892209,28.785392,76.934014,09:05,545,32,27.053,0.1878,6,1,0.4577,455,07:35,0,5.1
U00221,28.63452,77.126039,28.744497,77.169889,08:52,532,49,12.933,0.9616,15,1,0.7526,436,07:16,6,11.9
